time(s)	nformants	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)	F4(Hz)	B4(Hz)	F5(Hz)	B5(Hz)
0.050986	4	152.836	610.070	2382.591	475.642	3166.247	176.050	4087.427	532.973	--undefined--	--undefined--
0.060986	5	248.366	91.245	2390.733	322.368	3124.111	263.728	3924.471	468.955	4833.980	1646.674
0.070986	5	251.482	55.761	2452.068	208.228	3147.983	457.985	3826.250	443.386	4493.104	730.791
0.080986	5	272.908	47.454	2478.626	140.773	3126.121	592.952	3819.229	383.428	4487.502	530.767
0.090986	5	296.085	34.295	2469.064	102.410	3022.251	744.972	3851.642	337.138	4450.970	436.975
0.100986	5	320.445	31.452	2480.049	114.764	2675.456	821.383	3881.608	282.457	4470.671	346.952
0.110986	5	334.321	25.795	2301.945	480.273	2528.804	111.915	3923.970	330.444	4508.267	324.373
0.120986	5	342.338	22.524	2138.898	339.669	2513.922	64.321	3900.652	309.431	4549.940	308.139
0.130986	5	343.128	20.619	2012.303	268.104	2499.665	61.616	3916.998	225.969	4579.651	247.035
0.140986	5	340.611	18.360	1863.527	234.721	2487.585	102.512	3930.818	205.146	4572.417	231.385
0.150986	5	336.691	16.801	1715.337	247.217	2480.484	211.039	3914.585	173.684	4567.367	255.123
0.160986	5	333.164	19.124	1495.730	306.988	2491.328	193.624	3921.412	169.327	4612.273	213.883
0.170986	5	331.162	33.405	1224.431	288.762	2519.357	172.182	3942.350	243.598	4619.903	167.990
0.180986	5	326.951	66.473	1140.871	234.598	2520.804	369.424	3870.668	463.057	4604.927	232.702
0.190986	5	319.582	185.329	1087.622	327.598	2296.345	863.126	3768.980	685.659	4562.107	328.834
0.200986	5	299.704	323.615	1025.087	329.972	2178.648	961.291	3956.241	769.392	4593.334	809.559
0.210986	5	306.613	193.374	965.339	232.872	2456.566	497.934	3987.992	357.107	4831.138	968.390
0.220986	5	299.616	159.762	806.812	221.547	2583.131	158.456	4039.940	178.137	4802.497	523.663
0.230986	5	303.904	163.183	764.029	189.016	2579.344	138.782	4106.537	200.297	4764.862	505.889
0.240986	5	307.404	142.478	771.639	162.673	2571.864	172.008	4086.763	240.651	4709.590	591.953
0.250986	5	310.329	134.728	787.636	149.213	2550.887	274.158	4072.873	263.567	4668.517	681.759
0.260986	5	324.845	170.091	815.945	186.804	2464.724	438.344	4099.092	467.061	4551.033	775.060
0.270986	5	357.960	209.456	859.477	224.389	2415.258	576.754	4021.210	1153.816	4481.300	390.696
0.280986	5	372.527	140.888	896.797	127.724	2477.359	551.428	4085.543	1364.945	4483.917	378.491
0.290986	5	372.873	64.613	946.715	65.993	2554.564	387.825	4098.720	855.185	4528.649	338.027
0.300986	5	378.427	48.584	1036.405	53.960	2562.679	348.184	4166.349	817.717	4562.705	333.454
0.310986	5	389.841	54.855	1109.033	71.569	2538.006	421.881	4218.350	708.752	4580.132	488.957
0.320986	5	400.981	55.666	1197.756	86.782	2496.236	544.443	4126.294	453.360	4644.436	369.395
0.330986	5	414.270	61.657	1275.797	112.855	2489.798	515.937	4106.596	459.078	4648.739	394.908
0.340986	5	428.008	58.969	1376.355	123.744	2475.149	498.836	4106.589	469.280	4649.111	431.839
0.350986	5	443.783	56.484	1460.984	149.765	2445.599	490.272	4126.189	538.854	4598.776	464.857
0.360986	5	456.367	49.687	1537.421	158.765	2492.949	248.560	4099.164	674.515	4516.113	529.202
0.370986	5	452.369	55.742	1575.521	218.869	2499.274	165.999	4027.016	596.038	4615.979	590.605
0.380986	5	440.878	75.285	1589.470	357.100	2476.722	149.975	4105.632	652.878	4652.414	467.977
0.390986	5	433.769	88.834	1612.440	507.246	2459.795	163.917	4180.298	585.427	4655.078	467.914
0.400986	5	428.160	95.021	1754.086	707.328	2420.225	303.280	4153.855	717.165	4605.574	455.183
0.410986	5	419.723	89.897	1911.579	702.725	2371.459	406.673	3984.854	782.872	4617.881	410.833
0.420986	5	412.167	88.385	1960.482	815.179	2369.422	311.374	3885.676	558.852	4665.875	381.176
0.430986	5	404.950	86.234	2198.649	989.513	2331.814	278.271	3939.489	535.141	4705.320	512.663
0.440986	5	395.924	77.399	2255.203	223.165	2446.864	865.168	4044.568	570.182	4668.492	444.727
0.450986	5	387.192	76.491	2208.220	158.900	2548.823	885.341	4032.272	487.605	4647.795	361.633
0.460986	5	379.345	93.199	2158.624	102.548	2792.686	1193.808	3988.227	553.380	4630.324	371.437
0.470986	5	372.756	105.277	2115.325	85.039	3398.683	1161.132	3991.438	1306.190	4574.455	481.280
0.480986	5	367.689	107.845	2091.865	157.480	3285.157	690.144	4253.148	731.776	4782.488	1013.503
0.490986	5	362.053	191.890	2135.741	313.494	3151.682	555.941	4178.819	457.351	4985.832	567.913
0.500986	5	311.105	455.274	2210.378	321.255	3252.372	624.042	4137.474	421.655	5071.905	539.375
0.510986	4	2196.284	408.845	3210.642	818.007	4076.981	512.595	5223.710	877.912	--undefined--	--undefined--
0.520986	4	2066.398	462.461	2841.182	676.982	3811.726	502.728	4643.123	849.702	--undefined--	--undefined--
0.530986	4	2121.273	425.164	2802.260	837.318	3773.034	320.810	4654.203	648.104	--undefined--	--undefined--
0.540986	4	2126.944	372.556	2928.313	1050.150	3787.584	440.687	4626.733	759.722	--undefined--	--undefined--
0.550986	4	2076.892	378.036	2953.291	619.526	3931.606	360.033	4784.457	1029.589	--undefined--	--undefined--
0.560986	4	2101.739	370.344	2938.011	693.192	3903.694	305.274	4659.824	887.278	--undefined--	--undefined--
0.570986	4	2119.506	234.810	2955.645	716.902	3837.854	229.202	4703.835	687.552	--undefined--	--undefined--
0.580986	4	2112.996	178.740	2933.635	709.229	3826.947	244.422	4638.843	610.510	--undefined--	--undefined--
0.590986	4	2118.174	274.604	2889.186	891.419	3843.160	385.499	4477.556	796.743	--undefined--	--undefined--
0.600986	4	2109.060	453.544	2955.390	844.251	3836.773	303.831	4625.466	984.928	--undefined--	--undefined--
0.610986	4	2087.547	636.966	2973.920	514.642	3893.544	243.468	4907.760	593.494	--undefined--	--undefined--
0.620986	4	2126.694	564.221	2937.132	671.283	3885.227	251.258	4792.103	736.054	--undefined--	--undefined--
0.630986	4	2166.649	372.858	2978.211	779.046	3830.675	270.314	4610.813	563.252	--undefined--	--undefined--
0.640986	4	2147.865	333.493	2927.644	783.579	3769.971	297.064	4587.963	512.381	--undefined--	--undefined--
0.650986	4	2155.548	426.435	2788.655	1032.964	3666.475	330.684	4494.028	642.751	--undefined--	--undefined--
0.660986	4	1676.213	884.650	2468.647	700.459	3606.563	305.569	4252.227	661.218	--undefined--	--undefined--
0.670986	4	1434.783	641.421	2242.156	616.491	3454.048	493.449	4041.562	526.855	--undefined--	--undefined--
0.680986	4	1337.489	593.437	2233.374	604.220	3421.675	572.512	4259.996	570.934	--undefined--	--undefined--
0.690986	4	1358.321	591.938	2233.223	774.143	3403.807	793.490	4334.611	622.083	--undefined--	--undefined--
0.700986	4	1306.202	643.373	2463.043	910.692	3546.681	646.100	4100.645	615.525	--undefined--	--undefined--
0.710986	5	965.165	273.238	2090.936	1167.341	3118.896	770.373	3858.130	375.236	4756.385	917.657
0.720986	5	986.179	219.403	2126.501	813.662	3093.176	667.579	3828.139	328.094	4683.428	639.134
0.730986	5	1033.541	343.959	2213.993	791.679	2990.791	750.066	3734.768	401.568	4674.553	559.720
0.740986	5	1065.369	507.275	2284.759	958.218	2911.769	895.888	3626.570	444.614	4693.928	464.507
0.750986	5	1024.232	570.991	2298.986	830.808	3177.364	1146.976	3646.666	579.971	4730.915	672.578
0.760986	5	923.267	401.431	2167.188	409.286	3167.396	519.015	3934.817	496.270	4915.188	999.423
0.770986	5	865.084	441.765	2157.067	334.755	3113.763	428.050	3980.446	403.108	4960.715	952.592
0.780986	5	541.648	837.614	2145.420	335.675	3082.346	493.897	3881.204	256.308	4842.425	671.551
0.790986	5	306.391	481.937	2130.251	205.137	3068.538	378.930	3856.947	145.325	4770.332	397.327
0.800986	5	356.302	167.410	2131.807	221.844	3031.401	586.555	3852.368	246.610	4866.638	638.755
0.810986	5	384.071	143.090	2111.122	290.138	2754.291	620.401	3861.976	299.222	4770.928	779.384
0.820986	5	406.397	94.250	2024.044	133.677	2708.808	559.616	3941.272	332.689	4673.487	901.514
0.830986	5	424.213	69.398	1996.994	84.267	2608.408	549.206	3955.690	346.260	4548.646	828.237
0.840986	5	434.491	61.117	1986.307	84.925	2553.627	398.041	4010.772	404.526	4451.144	809.045
0.850986	5	439.492	60.348	2000.234	115.592	2558.802	270.609	4145.466	263.920	4552.383	1554.300
0.860986	5	439.057	65.219	2015.988	138.443	2596.817	225.363	4188.636	181.849	4694.374	2283.443
0.870986	5	430.009	76.384	2014.199	117.634	2627.511	184.863	4180.200	173.725	5131.728	3001.327
0.880986	4	410.733	102.552	2001.615	91.028	2618.823	148.800	4142.650	197.648	--undefined--	--undefined--
0.890986	4	382.433	155.164	1962.910	81.519	2573.366	153.715	4114.561	218.392	--undefined--	--undefined--
0.900986	4	336.077	175.749	1927.426	96.233	2505.103	173.885	4129.333	280.404	--undefined--	--undefined--
0.910986	4	288.975	49.775	1915.027	108.230	2501.212	161.149	4190.717	342.934	--undefined--	--undefined--
0.920986	4	281.167	9.554	1877.672	165.462	2602.933	198.328	4456.744	519.461	--undefined--	--undefined--
0.930986	4	284.374	10.344	1857.183	250.454	2642.468	242.111	4502.805	504.970	--undefined--	--undefined--
0.940986	4	289.091	17.416	1901.816	315.269	2685.713	209.769	4394.302	346.746	--undefined--	--undefined--
0.950986	4	296.090	29.213	1949.067	249.814	2714.261	134.415	4242.035	491.734	--undefined--	--undefined--
