ListenerID,RecordedDate,inUS,english,famSLHDs,SLHDconnection,SLHDconnection_other,age,gender,gender_other,race,race_other,ethnicity,AudioCheck,AudioTroubleshoot,P1,P2,P3,Understood?,EP1,EP2,EP3,SpeakerID,Int_VAS,Int_OT
N1,2021-06-25 14:39:00,Yes,"Yes, it is my native language",Yes,I have a family member or friend with a speech and/or language disorder,"",45,Woman,"",White/Caucasian,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",my most memorable moment was riding on the caterpillar,which is a gigantic rollercoaster high above the ground,when I saw how high the caterpillar rose,"Yes, I am ready to begin.","","","",HDF5,89.3,84.4827586206897
N1,2021-06-25 14:39:00,Yes,"Yes, it is my native language",Yes,I have a family member or friend with a speech and/or language disorder,"",45,Woman,"",White/Caucasian,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",my most memorable moment was riding on the caterpillar,which is a gigantic rollercoaster high above the ground,when I saw how high the caterpillar rose,"Yes, I am ready to begin.","","","",ALSF9,32.39,42.3076923076923
N10,2021-06-25 17:03:07,Yes,"Yes, it is my native language",Yes,Other,none,23,Man,"",Asian American,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",my most memorable moment was riding a catipillar,which is a gigantic roller coaster high above the ground,when I saw how high the caterpillar rose,"Yes, I am ready to begin.","","","",PDM9,77.75,68.4615384615385
N10,2021-06-25 17:03:07,Yes,"Yes, it is my native language",Yes,Other,none,23,Man,"",Asian American,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",my most memorable moment was riding a catipillar,which is a gigantic roller coaster high above the ground,when I saw how high the caterpillar rose,"Yes, I am ready to begin.","","","",AM1,66.9,58.974358974359
N100,2022-01-05 15:26:54,Yes,"Yes, it is my second language",Yes,I have a family member or friend with a speech and/or language disorder,"",21,Woman,"",White/Caucasian,"",Hispanic/Latino,"Yes, I can hear the audio.","",My most memorable moment was riding on the caterpillar.,Which is a gigantic rollercoaster high above the ground.,When I saw how high the caterpillar rose.,"Yes, I am ready to begin.","","","",PDM15,79.3,49.5934959349594
N100,2022-01-05 15:26:54,Yes,"Yes, it is my second language",Yes,I have a family member or friend with a speech and/or language disorder,"",21,Woman,"",White/Caucasian,"",Hispanic/Latino,"Yes, I can hear the audio.","",My most memorable moment was riding on the caterpillar.,Which is a gigantic rollercoaster high above the ground.,When I saw how high the caterpillar rose.,"Yes, I am ready to begin.","","","",ALSF5,22.25,12.3076923076923
N101,2022-01-05 15:27:25,Yes,"Yes, it is my native language",Yes,I have a family member or friend with a speech and/or language disorder,"",18,Woman,"",White/Caucasian,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",my most memorable moment was riding on the caterpillar.,which is a gigantic rollercoaster high above the ground,when I saw how high the caterpillar rose,"Yes, I am ready to begin.","","","",AF2,9.58,69.2307692307692
N101,2022-01-05 15:27:25,Yes,"Yes, it is my native language",Yes,I have a family member or friend with a speech and/or language disorder,"",18,Woman,"",White/Caucasian,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",my most memorable moment was riding on the caterpillar.,which is a gigantic rollercoaster high above the ground,when I saw how high the caterpillar rose,"Yes, I am ready to begin.","","","",AM4,41.55,79.2307692307692
N102,2022-01-05 15:27:38,Yes,"Yes, it is my native language",Yes,I have a family member or friend with a speech and/or language disorder,"",21,Woman,"",White/Caucasian,"",Hispanic/Latino,"Yes, I can hear the audio.","",my most memorable moment was riding on the caterpillar ,which is a gigantic rollercoaster high above the ground,"when i saw how high the caterpillar rose, ","Yes, I am ready to begin.","","","",PDM15,67.46,70.7317073170732
N102,2022-01-05 15:27:38,Yes,"Yes, it is my native language",Yes,I have a family member or friend with a speech and/or language disorder,"",21,Woman,"",White/Caucasian,"",Hispanic/Latino,"Yes, I can hear the audio.","",my most memorable moment was riding on the caterpillar ,which is a gigantic rollercoaster high above the ground,"when i saw how high the caterpillar rose, ","Yes, I am ready to begin.","","","",ALSF5,13.8,19.2307692307692
